220404-01:33:59 [INFO] -- Poll: TimesUp 67471 0
220404-01:33:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:33:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:33:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:33:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:34:05 [INFO] -- Poll: TimesUp 45739 0
220404-01:34:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:34:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:34:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:34:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:34:11 [INFO] -- Poll: TimesUp 19822 0
220404-01:34:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:34:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:34:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:34:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:34:17 [INFO] -- Poll: TimesUp 59476 0
220404-01:34:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:34:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:34:17 [INFO] -- PollAck: LockerReaderDriver is up!
